Id,SalePrice
1461,122051.79592633246
1462,158845.59826787357
1463,168073.457765182
1464,177676.236386154
1465,200503.98751305198
1466,174501.29640606072
1467,164106.5182160427
1468,161140.20508003287
1469,195196.5382528051
1470,125009.34730807012
1471,199640.4493078146
1472,97296.12094620046
1473,100256.27915018391
1474,152584.32406806844
1475,138705.88789982093
1476,392650.5611555747
1477,264075.5089216566
1478,296164.20044795645
1479,291864.9726563958
1480,490207.0422018371
1481,305020.85456150706
1482,212719.0838637544
1483,166354.7746101218
1484,169976.9121326193
1485,178806.41829943424
1486,194270.36773703992
1487,343317.6207215754
1488,238404.39325461703
1489,209282.3013761558
1490,209607.1307839528
1491,191521.9226522336
1492,89246.27983729451
1493,190133.95694551407
1494,292332.51337354153
1495,289776.2225641826
1496,242809.1677652037
1497,178597.19843494587
1498,163573.28053624494
1499,166800.98581387615
1500,152817.2024603841
1501,169922.2221729995
1502,162023.20316778508
1503,305097.7435795642
1504,232020.42162605
1505,214793.878458627
1506,200467.18039505734
1507,239075.61568178792
1508,197960.67374458248
1509,154868.37024611532
1510,148018.46823397404
1511,145175.43317044977
1512,179765.98250335176
1513,137075.55760968756
1514,155871.44822077776
1515,201193.4109587852
1516,162481.919902446
1517,158656.12169505336
1518,132350.4312055085
1519,219362.2019932313
1520,136193.68292293765
1521,139886.0996675853
1522,171348.83511195294
1523,110393.07105151466
1524,121957.71339557618
1525,125011.60180412263
1526,125462.06854940524
1527,98603.51689407302
1528,128361.18433566514
1529,145454.25377472106
1530,177998.99635888424
1531,102129.84820169142
1532,101778.24571924443
1533,149143.5155315221
1534,118524.95919072654
1535,146637.04829822638
1536,111799.97304491975
1537,68734.01365004473
1538,185949.03521081957
1539,202803.49186314436
1540,88361.27389976627
1541,133274.96561795613
1542,129973.75078935527
1543,222874.11920806547
1544,77727.36142173747
1545,103234.89478794018
1546,124457.42661479028
1547,130294.90539674104
1548,124558.42788954901
1549,111582.83997722785
1550,139240.85285435597
1551,120256.52870183485
1552,116738.84665719054
1553,145729.76424129098
1554,112313.84965287345
1555,163742.1864448603
1556,87214.72624276303
1557,117354.755723615
1558,92366.80740224352
1559,86048.37239285072
1560,143057.60978173476
1561,161837.58606013164
1562,129882.62713730906
1563,124100.28833530172
1564,161337.0326447056
1565,146943.91763660245
1566,222167.182531973
1567,74657.63454679184
1568,211177.06440103406
1569,126817.94946378922
1570,128711.38062206413
1571,124433.42938611002
1572,150423.13795458383
1573,271280.02343841037
1574,128804.39838702683
1575,229248.59328350172
1576,210179.18849482498
1577,197173.4747955019
1578,149484.10227312916
1579,138707.71806378057
1580,190375.13610218887
1581,145522.96569760898
1582,130460.39702673646
1583,335134.5269596154
1584,226962.1914198016
1585,139560.27033768804
1586,83381.98808609229
1587,100528.86784802469
1588,151301.4814844747
1589,94628.31589296761
1590,139139.83036740968
1591,99054.03751719548
1592,114312.24794427241
1593,128869.23897647145
1594,137690.26044582506
1595,133404.75114605075
1596,254482.99865274315
1597,182676.62609093587
1598,210753.37117797582
1599,208946.64329841489
1600,194591.01528804042
1601,88401.11341805225
1602,107439.9890404574
1603,74300.69315728633
1604,332474.08732686174
1605,253821.14971237356
1606,165097.9569206794
1607,170222.3160329523
1608,200924.01028835584
1609,195721.00366858076
1610,151020.7172422792
1611,139059.94130955834
1612,174446.0040510749
1613,153703.75878966125
1614,126677.55836003291
1615,87559.9785014199
1616,75222.47119580451
1617,96852.50079321345
1618,130155.81697136682
1619,136890.7595072009
1620,168871.88829672444
1621,127895.81711588366
1622,146311.43656926346
1623,303849.6999935211
1624,214073.2546908117
1625,129816.28330146485
1626,176226.17735747088
1627,174466.66662999243
